id,BDD,type,img,DiameterByCircle,compactIndex,regularityIndex,regularityIndexPercentage,colorThreshold,nbColors,kurtosis,AssymetryByDistanceByCircle,roundness
33,PH2,Melanoma,IMD421.bmp,814,2.8377,0.0115,0.3538,1,3580.2557,274586050.4226,90.4034,0.874
34,PH2,Melanoma,IMD423.bmp,756,1.3993,0.0078,0.7181,2,3271.7214,149215780.9554,82.4529,0.9197
35,PH2,Melanoma,IMD424.bmp,484,3.2942,0.0186,0.3047,2,2806.8963,515357936.5919,90.479,0.8544
36,PH2,Melanoma,IMD425.bmp,560,1.8966,0.013,0.5301,2,3220.1227,452486661.56,91.3832,0.9188
37,PH2,Melanoma,IMD426.bmp,722,3.0996,0.013,0.3231,1,3051.5451,335249203.4303,90.718,0.7986
38,PH2,Melanoma,IMD429.bmp,388,1.3207,0.014,0.7649,2,2694.4729,566753077.994,91.7558,0.9586
39,PH2,Melanoma,IMD435.bmp,780,4.608,0.016,0.2175,1,3256.5008,365046017.4108,84.5895,0.6933
40,PH2,Nevus,IMD002.bmp,468,1.3696,0.0116,0.7311,2,2915.9065,281380340.3757,92.1589,0.9415
41,PH2,Nevus,IMD003.bmp,310,1.3304,0.0169,0.7524,2,2983.8719,1245002827.4399,89.5513,0.9461
42,PH2,Nevus,IMD004.bmp,396,1.2967,0.0127,0.7771,2,2703.751,597390909.2835,94.2674,0.9448
43,PH2,Nevus,IMD006.bmp,364,2.0853,0.0203,0.4819,1,2797.5664,2123179684.8998,80.8201,0.8862
44,PH2,Nevus,IMD008.bmp,288,1.5797,0.0201,0.6374,2,2659.3663,5324576542.745,97.0669,0.9097
45,PH2,Nevus,IMD009.bmp,310,1.415,0.0167,0.7083,1,2251.9276,1978253577.9192,97.9672,0.9623
46,PH2,Nevus,IMD010.bmp,314,1.2041,0.0154,0.8357,1,2576.1006,2208729051.4088,95.41,0.9657
47,PH2,Nevus,IMD013.bmp,400,1.4139,0.0134,0.7096,1,1948.1831,1347028033.0184,99.2956,0.9308
48,PH2,Nevus,IMD014.bmp,676,1.5394,0.0085,0.6503,1,2008.2857,298365549.9394,95.4822,0.9438
49,PH2,Nevus,IMD015.bmp,464,1.2374,0.0112,0.8149,2,2321.471,304783425.0321,95.3583,0.9586
50,PH2,Nevus,IMD016.bmp,386,1.241,0.0133,0.8075,2,2350.0521,841128704.0042,94.7187,0.9541
51,PH2,Nevus,IMD017.bmp,544,1.1829,0.0086,0.8508,2,2998.5618,109263473.0831,95.8157,0.9788
52,PH2,Nevus,IMD018.bmp,314,1.2678,0.0184,0.7962,2,2664.7014,2312902255.0411,92.7407,0.9596
53,PH2,Nevus,IMD019.bmp,270,1.1463,0.0176,0.876,2,2799.1675,2110216750.3625,95.6822,0.9637
54,PH2,Nevus,IMD020.bmp,318,1.1882,0.0158,0.8514,2,2447.9379,1032385820.4839,92.9738,0.979
55,PH2,Nevus,IMD021.bmp,354,1.187,0.0144,0.8487,4,2585.6844,352692555.0688,96.6116,0.9728
56,PH2,Nevus,IMD022.bmp,448,1.523,0.0128,0.6598,2,2260.6471,493461378.4154,95.0099,0.9484
57,PH2,Nevus,IMD023.bmp,716,2.4929,0.0104,0.4014,1,2084.3062,265602744.4519,94.8722,0.9147
58,PH2,Nevus,IMD024.bmp,306,1.2771,0.0196,0.7892,1,2720.6368,2656988800.5325,97.3132,0.9672
59,PH2,Nevus,IMD025.bmp,412,1.2788,0.0135,0.7888,3,1765.9044,408042556.7935,89.3808,0.9628
60,PH2,Nevus,IMD027.bmp,476,1.2389,0.0113,0.8076,1,2809.6643,842383873.9724,92.4048,0.947
61,PH2,Nevus,IMD030.bmp,582,1.5053,0.0096,0.6668,2,2472.1843,242218058.1389,95.8768,0.9537
62,PH2,Nevus,IMD031.bmp,688,1.2162,0.0072,0.8249,2,2669.899,46965143.4665,94.1269,0.9756
63,PH2,Nevus,IMD032.bmp,584,1.9377,0.0106,0.5183,1,3379.6595,426028979.2354,96.1806,0.9372
64,PH2,Nevus,IMD033.bmp,542,1.4624,0.0119,0.6858,2,3171.4539,528486361.2107,84.7512,0.9328
65,PH2,Nevus,IMD035.bmp,818,6.4288,0.0225,0.1556,2,3326.0747,1429713367.7764,74.4817,0.1846
66,PH2,Nevus,IMD036.bmp,540,1.3337,0.0092,0.7512,2,3088.2081,273468787.35,98.8328,0.9619
67,PH2,Nevus,IMD037.bmp,274,1.5456,0.0227,0.6479,2,3384.4441,8622212004.285,91.7348,0.8374
68,PH2,Nevus,IMD038.bmp,326,1.2685,0.0165,0.792,3,3021.8373,1018070128.8997,93.1434,0.9603
69,PH2,Nevus,IMD039.bmp,256,1.168,0.0185,0.8566,3,2691.0591,3234219696.2604,97.8017,0.9777
70,PH2,Nevus,IMD040.bmp,294,1.2107,0.0167,0.8368,2,2955.1526,1604795442.3804,90.3706,0.9776
71,PH2,Nevus,IMD041.bmp,408,1.2953,0.0119,0.7728,2,2772.3004,506559697.2018,100.0,0.9656
72,PH2,Nevus,IMD042.bmp,442,1.2751,0.0112,0.7881,2,2224.4591,181819029.7057,94.9467,0.9701
73,PH2,Nevus,IMD043.bmp,414,1.8321,0.0164,0.5501,4,2705.213,286821069.8474,94.5353,0.8598
74,PH2,Nevus,IMD044.bmp,670,1.7943,0.0105,0.5581,2,3106.582,108486433.0297,94.6057,0.9216
75,PH2,Nevus,IMD045.bmp,292,1.3981,0.02,0.7156,1,2750.4676,4254803617.8188,93.1538,0.9376
76,PH2,Nevus,IMD047.bmp,460,1.4455,0.0126,0.6947,3,2592.5511,234216420.5461,98.0586,0.9272
77,PH2,Nevus,IMD048.bmp,376,1.6818,0.0165,0.5963,2,2132.3899,817654183.3499,96.1446,0.9331
78,PH2,Nevus,IMD049.bmp,402,1.3026,0.0139,0.7746,2,2629.5348,449504258.6496,92.4333,0.9445
79,PH2,Nevus,IMD050.bmp,378,1.3753,0.0142,0.7319,2,2038.0137,824891554.7442,98.4141,0.9351
80,PH2,Nevus,IMD057.bmp,572,1.2741,0.0093,0.7901,2,2964.6338,55714056.131,97.272,0.9601
81,PH2,Nevus,IMD075.bmp,426,1.5537,0.0148,0.6437,2,2848.8076,213174696.2767,89.8475,0.8509
82,PH2,Nevus,IMD076.bmp,640,2.6669,0.0147,0.3761,2,3258.4265,499962557.8628,89.3763,0.7137
83,PH2,Nevus,IMD078.bmp,440,1.4039,0.013,0.7142,2,2483.5496,468039794.4698,88.6095,0.9259
84,PH2,Nevus,IMD092.bmp,160,1.1599,0.0296,0.8685,3,2556.8266,5909518836.1214,93.7942,0.9689
85,PH2,Nevus,IMD101.bmp,638,1.5288,0.0089,0.6544,1,3252.3098,269459936.9558,92.4749,0.9447
86,PH2,Nevus,IMD103.bmp,272,1.2469,0.019,0.8072,1,3618.3509,4647060977.5394,94.657,0.9558
87,PH2,Nevus,IMD105.bmp,486,1.9236,0.0152,0.52,1,2476.7436,2231548249.3233,87.3543,0.8571
88,PH2,Nevus,IMD107.bmp,368,1.3768,0.0169,0.7322,1,3529.8744,3623994968.2088,92.9442,0.925
89,PH2,Nevus,IMD108.bmp,310,1.5884,0.0187,0.6306,1,3356.8934,6107952000.3458,93.3786,0.9014
90,PH2,Nevus,IMD112.bmp,550,1.7336,0.0124,0.5773,2,2336.725,1903379969.4524,94.3278,0.9215
91,PH2,Nevus,IMD118.bmp,356,1.3672,0.0155,0.7341,2,2019.527,843263547.5585,94.3883,0.9247
92,PH2,Nevus,IMD120.bmp,550,1.5122,0.012,0.6642,2,2902.727,583525595.1897,96.7141,0.9318
93,PH2,Nevus,IMD125.bmp,386,1.3906,0.0161,0.7261,1,3562.0352,1801985263.2846,93.949,0.9484
94,PH2,Nevus,IMD126.bmp,508,1.5289,0.0125,0.6553,1,2667.9165,1106437816.6806,98.7562,0.9303
95,PH2,Nevus,IMD132.bmp,312,1.6181,0.0246,0.6223,1,2252.103,8670794142.3237,95.4048,0.904
96,PH2,Nevus,IMD133.bmp,356,1.3702,0.0176,0.7349,1,2862.4007,3149023116.1065,85.6217,0.9248
97,PH2,Nevus,IMD134.bmp,342,1.269,0.0161,0.7911,1,3105.209,1822227267.1847,90.1053,0.9303
98,PH2,Nevus,IMD135.bmp,594,1.3458,0.0088,0.7448,2,3032.6017,186390052.9614,93.5491,0.9706
99,PH2,Nevus,IMD137.bmp,364,1.778,0.0176,0.5662,1,2931.5986,2986042795.1732,92.6323,0.9152
100,PH2,Nevus,IMD138.bmp,496,1.5067,0.0133,0.6691,2,3327.7592,768075886.5387,95.729,0.9226
101,PH2,Nevus,IMD139.bmp,300,1.2862,0.0184,0.7836,3,2320.0328,351345591.4432,91.6865,0.9518
102,PH2,Nevus,IMD140.bmp,312,1.2635,0.0174,0.7948,3,3066.6595,690643606.5418,93.424,0.9425
103,PH2,Nevus,IMD142.bmp,338,1.1757,0.0147,0.8515,1,3033.2585,2483384347.5511,96.6538,0.9673
104,PH2,Nevus,IMD143.bmp,202,1.1914,0.0236,0.8528,2,3221.1736,11458829437.8391,96.4618,0.9592
105,PH2,Nevus,IMD144.bmp,592,6.2137,0.0526,0.1614,3,2815.0635,1147949189.7654,82.1121,-0.8098
106,PH2,Nevus,IMD146.bmp,338,1.2639,0.016,0.7933,2,2791.0862,2276428199.2748,94.1908,0.9607
107,PH2,Nevus,IMD147.bmp,610,1.7076,0.0106,0.5873,1,2091.5103,389799581.5474,91.4896,0.9265
108,PH2,Nevus,IMD149.bmp,520,1.2266,0.0094,0.8204,2,2982.3653,131100419.8602,96.1429,0.9526
109,PH2,Nevus,IMD150.bmp,534,1.3258,0.0096,0.7595,3,2901.4095,247038229.6227,96.1013,0.9747
110,PH2,Nevus,IMD152.bmp,536,1.7169,0.0116,0.5829,2,1904.4302,163750124.8191,93.3765,0.9382
111,PH2,Nevus,IMD153.bmp,594,1.549,0.0101,0.6495,2,2763.8156,272548074.5293,92.8689,0.9124
112,PH2,Nevus,IMD154.bmp,664,1.4326,0.0086,0.6987,2,3149.556,137977336.7241,93.1885,0.9601
113,PH2,Nevus,IMD155.bmp,602,1.4249,0.0096,0.7046,2,2037.5899,228239697.966,98.0631,0.9657
114,PH2,Nevus,IMD156.bmp,238,1.2651,0.0223,0.7975,1,3044.6549,5746551630.5387,96.6391,0.9149
115,PH2,Nevus,IMD157.bmp,470,1.5161,0.0126,0.6601,2,2235.6044,455059088.5245,96.5794,0.9072
116,PH2,Nevus,IMD159.bmp,516,1.3115,0.0107,0.7656,1,3093.525,600241022.3262,94.1873,0.9715
117,PH2,Nevus,IMD160.bmp,630,1.5106,0.0094,0.6659,1,2825.6554,266362890.1255,93.0131,0.9267
118,PH2,Nevus,IMD161.bmp,666,1.4609,0.0095,0.6848,1,2749.1482,307953685.9145,92.7503,0.9359
119,PH2,Nevus,IMD162.bmp,338,1.4215,0.0168,0.7101,1,2424.2691,3988940612.4016,98.6799,0.8857
120,PH2,Nevus,IMD164.bmp,442,1.2978,0.0123,0.7759,2,2999.9014,623302481.8758,97.7392,0.948
121,PH2,Nevus,IMD166.bmp,626,1.464,0.0095,0.6874,1,3144.0111,450312644.8388,91.3471,0.9642
122,PH2,Nevus,IMD169.bmp,422,1.2364,0.0121,0.8144,3,2462.2967,158403116.3928,97.9893,0.9575
123,PH2,Nevus,IMD170.bmp,672,2.2513,0.0122,0.4446,2,2066.1747,268213926.5072,84.555,0.8733
124,PH2,Nevus,IMD171.bmp,324,1.1974,0.0152,0.8436,2,2712.7352,154883356.4163,98.0591,0.9619
125,PH2,Nevus,IMD173.bmp,448,1.2322,0.0117,0.8138,2,2974.306,548281832.3201,95.9576,0.9772
126,PH2,Nevus,IMD175.bmp,410,1.2303,0.0123,0.8194,1,3145.2243,1585073150.4186,97.8251,0.9741
127,PH2,Nevus,IMD176.bmp,482,1.2274,0.0103,0.8167,1,3045.235,775008847.445,91.1412,0.9638
128,PH2,Nevus,IMD177.bmp,362,1.3275,0.0157,0.7554,2,2705.3484,1793417643.8762,96.6984,0.9461
129,PH2,Nevus,IMD182.bmp,478,1.4539,0.012,0.6913,2,4057.814,2240447990.5815,92.1522,0.9459
130,PH2,Nevus,IMD196.bmp,266,1.6593,0.0238,0.606,1,3407.9184,4339502513.792,97.6348,0.8207
131,PH2,Nevus,IMD197.bmp,510,1.5511,0.0137,0.6448,2,3057.5866,807826459.4955,94.463,0.9268
132,PH2,Nevus,IMD198.bmp,524,1.8769,0.0146,0.534,2,2582.6597,2986942512.5504,84.6922,0.8443
133,PH2,Nevus,IMD199.bmp,366,1.4723,0.0146,0.6793,1,2551.51,1911378657.8545,96.0432,0.9529
134,PH2,Nevus,IMD200.bmp,364,1.6689,0.0164,0.602,1,3221.6371,1571042536.1275,90.9335,0.9396
135,PH2,Nevus,IMD203.bmp,328,1.3541,0.0188,0.7393,1,2569.6886,3418508684.6283,95.3563,0.9515
136,PH2,Nevus,IMD204.bmp,186,1.142,0.0241,0.8872,2,2565.1747,8941604712.9105,98.9279,0.975
137,PH2,Nevus,IMD206.bmp,280,1.1626,0.0177,0.8675,2,2335.2392,1180090677.2674,96.8154,0.9774
138,PH2,Nevus,IMD207.bmp,394,1.2797,0.0137,0.7816,1,2511.6663,1695774236.5203,91.3367,0.9717
139,PH2,Nevus,IMD208.bmp,432,1.2636,0.0121,0.7915,1,2687.3374,880215251.7049,92.3197,0.9445
140,PH2,Nevus,IMD210.bmp,476,1.6102,0.0125,0.6253,3,3085.6468,218975517.253,97.9009,0.8894
141,PH2,Nevus,IMD226.bmp,462,1.743,0.0136,0.5749,2,2227.7576,605311082.6514,95.1733,0.9401
142,PH2,Nevus,IMD243.bmp,522,1.2995,0.0108,0.7733,2,2721.8395,271097814.3344,89.61,0.9617
143,PH2,Nevus,IMD251.bmp,792,2.3682,0.0096,0.4236,1,3497.4035,103658393.3477,98.4648,0.8862
144,PH2,Nevus,IMD254.bmp,576,1.713,0.0111,0.5871,1,3390.5819,436327356.6051,95.2779,0.8629
145,PH2,Nevus,IMD256.bmp,426,1.5765,0.0147,0.6371,3,2770.9545,171369363.7946,91.8069,0.8789
146,PH2,Nevus,IMD278.bmp,256,1.2606,0.019,0.7988,1,3645.9228,3191446159.9319,98.2659,0.9417
147,PH2,Nevus,IMD279.bmp,278,1.2583,0.0175,0.7999,2,3043.3506,1863692877.1539,97.7369,0.9421
148,PH2,Nevus,IMD280.bmp,268,1.274,0.0186,0.7874,1,3128.4417,6394986994.1813,100.0,0.9317
149,PH2,Nevus,IMD304.bmp,392,1.5897,0.0173,0.6318,1,3459.3787,1823480917.2785,84.8506,0.8927
150,PH2,Nevus,IMD305.bmp,432,1.9016,0.0157,0.526,1,2588.2737,1107819117.2986,93.3239,0.8544
151,PH2,Nevus,IMD306.bmp,280,1.2665,0.0192,0.8005,3,2273.428,1475560797.706,92.7662,0.9378
152,PH2,Nevus,IMD312.bmp,366,1.2517,0.0139,0.8012,2,2091.129,1257074108.0157,94.9819,0.9387
153,PH2,Nevus,IMD328.bmp,252,1.3138,0.0235,0.7709,3,2607.924,1617827448.0864,94.2611,0.9181
154,PH2,Nevus,IMD331.bmp,276,1.2826,0.0184,0.7882,2,2423.5429,1134479707.2534,91.7622,0.9529
155,PH2,Nevus,IMD339.bmp,318,1.2544,0.0152,0.8024,2,2013.0148,1188138249.3973,96.0463,0.9672
156,PH2,Nevus,IMD347.bmp,648,1.6675,0.0096,0.6021,2,3023.3315,134607178.1857,89.7513,0.952
157,PH2,Nevus,IMD356.bmp,448,1.3445,0.0138,0.7498,1,1913.6667,1697358138.1629,97.1839,0.954
158,PH2,Nevus,IMD360.bmp,370,1.3412,0.0166,0.7526,3,3301.0526,1943953660.7848,98.384,0.9574
159,PH2,Nevus,IMD364.bmp,252,1.263,0.0199,0.8041,2,3010.3936,3075410521.7062,94.3983,0.9434
160,PH2,Nevus,IMD365.bmp,304,1.3599,0.0183,0.7429,1,2470.7658,3542831299.4787,90.5855,0.919
161,PH2,Nevus,IMD367.bmp,806,5.3505,0.0203,0.187,2,2937.7056,1279165363.9757,76.498,0.2812
162,PH2,Nevus,IMD368.bmp,462,2.2142,0.0192,0.4543,2,3222.496,4960013677.3567,74.3187,0.7977
163,PH2,Nevus,IMD369.bmp,502,1.3795,0.0127,0.7281,2,3060.986,471927016.8512,97.191,0.9474
164,PH2,Nevus,IMD370.bmp,448,1.4461,0.0121,0.6959,1,2221.9423,954782207.7816,95.5507,0.9215
165,PH2,Nevus,IMD371.bmp,570,1.4734,0.0099,0.6821,2,2025.5975,158448935.0974,93.7396,0.9192
166,PH2,Nevus,IMD372.bmp,362,1.7736,0.0182,0.5652,1,2756.7565,1632984532.114,91.5794,0.8888
167,PH2,Nevus,IMD374.bmp,252,1.3122,0.0209,0.7668,2,2233.9201,2691173554.1075,86.9616,0.9023
168,PH2,Nevus,IMD375.bmp,292,1.2029,0.0165,0.8325,2,2789.1652,4499603705.3506,100.0,0.9569
169,PH2,Nevus,IMD376.bmp,328,1.3386,0.016,0.7505,3,2181.8129,702654418.9897,95.9311,0.9203
170,PH2,Nevus,IMD378.bmp,540,1.4603,0.0105,0.6873,2,3499.3091,1290286803.9374,96.8603,0.9618
171,PH2,Nevus,IMD379.bmp,380,1.3198,0.0137,0.7653,2,2899.3263,662926634.7407,97.3262,0.9331
172,PH2,Nevus,IMD380.bmp,336,1.2185,0.0149,0.8278,2,2825.7452,1959473644.6499,94.5352,0.9548
173,PH2,Nevus,IMD381.bmp,508,1.3753,0.0112,0.7307,1,3688.5792,1774494173.5881,94.1681,0.9419
174,PH2,Nevus,IMD382.bmp,474,1.2924,0.012,0.7789,1,3173.7457,1003377023.9655,95.6741,0.9659
175,PH2,Nevus,IMD383.bmp,242,1.1895,0.0196,0.8426,1,3526.6661,5252938342.5927,97.525,0.9679
176,PH2,Nevus,IMD384.bmp,344,1.3473,0.017,0.7477,2,2353.0204,1708973191.8307,84.9681,0.8823
177,PH2,Nevus,IMD385.bmp,446,1.2732,0.0131,0.786,2,3534.4097,2148559674.2346,97.7176,0.9771
178,PH2,Nevus,IMD386.bmp,304,1.2708,0.017,0.7949,3,2486.472,248156201.4382,94.1324,0.9451
179,PH2,Nevus,IMD388.bmp,538,1.653,0.0115,0.6061,2,3713.4489,477670866.4268,88.3709,0.9289
180,PH2,Nevus,IMD389.bmp,598,1.43,0.0091,0.7005,1,2971.1909,252996029.4007,97.7584,0.9542
181,PH2,Nevus,IMD390.bmp,340,1.3033,0.0153,0.7703,1,2205.5824,3810929340.9932,91.045,0.9277
182,PH2,Nevus,IMD392.bmp,320,1.3212,0.0165,0.7652,2,3543.6746,5813733217.6232,93.1379,0.9464
183,PH2,Nevus,IMD393.bmp,772,2.6597,0.0123,0.3765,1,3677.2322,460711253.4615,93.3798,0.921
184,PH2,Nevus,IMD394.bmp,368,1.3495,0.0143,0.7424,2,3217.934,1040524120.9321,92.9575,0.9084
185,PH2,Nevus,IMD395.bmp,476,1.1924,0.0102,0.8449,2,2780.5917,377574576.8664,96.4442,0.965
186,PH2,Nevus,IMD396.bmp,490,1.7795,0.0166,0.565,2,2062.0601,392315221.6371,81.6628,0.8389
187,PH2,Nevus,IMD397.bmp,538,1.6933,0.0126,0.5938,1,1844.3663,769707885.1353,90.1066,0.8912
188,PH2,Nevus,IMD398.bmp,686,1.9529,0.0103,0.5131,1,2388.7658,420664499.514,96.499,0.8968
189,PH2,Nevus,IMD399.bmp,384,1.3003,0.0141,0.7692,2,2666.0348,345139748.6844,98.8378,0.9407
190,PH2,Nevus,IMD400.bmp,522,1.3772,0.0099,0.7292,1,2726.12,496912776.7893,96.5418,0.9641
191,PH2,Nevus,IMD402.bmp,414,1.3337,0.013,0.7507,2,2981.3583,505259350.1143,95.1625,0.9278
192,PH2,Nevus,IMD427.bmp,466,1.2549,0.0106,0.7994,2,3225.6448,384415709.267,95.6291,0.9369
193,PH2,Nevus,IMD430.bmp,408,1.2604,0.0138,0.7938,2,2607.8924,446384032.0035,91.8112,0.9648
194,PH2,Nevus,IMD431.bmp,570,1.3984,0.0103,0.7173,2,2365.3338,346811702.6289,90.2753,0.9302
195,PH2,Nevus,IMD432.bmp,394,1.7392,0.0161,0.5771,2,2289.8704,1146613921.753,89.601,0.8945
196,PH2,Nevus,IMD433.bmp,382,1.4774,0.0185,0.6851,1,2352.9975,3641194873.2189,89.2252,0.9116
197,PH2,Nevus,IMD434.bmp,418,1.5846,0.0154,0.6316,2,3011.6131,829324551.9227,90.4845,0.8793
198,PH2,Nevus,IMD436.bmp,692,1.6163,0.0098,0.619,1,2288.4453,405590007.6213,88.454,0.8848
199,PH2,Nevus,IMD437.bmp,560,1.259,0.0087,0.7974,2,3217.721,228808601.2449,93.9391,0.9697
200,ISIC,Melanoma,ISIC_0024323.jpg,422,1.8582,0.0172,0.5411,2,3432.9953,320096749.7593,94.915,0.7986
201,ISIC,Melanoma,ISIC_0024333.jpg,392,1.7368,0.0158,0.5762,2,3126.8,244630329.1852,91.3318,0.9101
202,ISIC,Melanoma,ISIC_0024351.jpg,448,1.4277,0.0128,0.7051,2,2863.209,358571820.0441,95.6037,0.9356
203,ISIC,Melanoma,ISIC_0024410.jpg,256,1.2889,0.0234,0.7783,3,3160.5677,510873440.554,92.2217,0.9421
204,ISIC,Melanoma,ISIC_0024459.jpg,488,1.4782,0.0118,0.6775,3,2913.3239,80727721.5053,98.2636,0.9051
205,ISIC,Melanoma,ISIC_0024482.jpg,438,1.7655,0.0145,0.5703,2,3292.9662,304399786.8747,91.4924,0.859
206,ISIC,Melanoma,ISIC_0024516.jpg,418,1.4083,0.0142,0.7113,2,3236.7122,294169668.0185,95.2255,0.9391
207,ISIC,Melanoma,ISIC_0024537.jpg,332,1.7021,0.0185,0.5924,2,3202.6875,484962536.8295,92.3006,0.8824
208,ISIC,Melanoma,ISIC_0024546.jpg,392,1.7482,0.0165,0.5752,1,3189.1966,682474491.9944,92.3303,0.8613
209,ISIC,Melanoma,ISIC_0024552.jpg,440,1.8339,0.0147,0.5487,2,3326.054,223196471.0983,98.3645,0.9123
210,ISIC,Melanoma,ISIC_0024630.jpg,394,1.7645,0.0158,0.5671,2,2950.3485,284252436.8628,93.4098,0.9083
211,ISIC,Melanoma,ISIC_0024640.jpg,530,1.3966,0.0107,0.7183,3,3452.3826,9573249.0003,92.3688,0.9414
212,ISIC,Melanoma,ISIC_0024688.jpg,378,1.3993,0.0158,0.7209,3,3403.1888,167296876.8415,96.262,0.8714
213,ISIC,Melanoma,ISIC_0024701.jpg,444,3.0158,0.0218,0.3322,2,3435.3567,523001241.6446,88.3198,0.8131
214,ISIC,Melanoma,ISIC_0024729.jpg,252,1.5618,0.0243,0.6451,2,3267.8076,1073008869.6113,86.4865,0.8162
215,ISIC,Melanoma,ISIC_0024732.jpg,364,1.3425,0.0159,0.7509,3,3388.9466,85979483.7535,86.2013,0.8721
216,ISIC,Melanoma,ISIC_0024792.jpg,416,1.4643,0.0146,0.6852,3,3099.3994,267811110.4231,90.3844,0.8991
217,ISIC,Melanoma,ISIC_0024805.jpg,322,1.5847,0.0183,0.6323,2,3420.1202,763616365.5288,90.237,0.9136
218,ISIC,Melanoma,ISIC_0024806.jpg,428,1.6144,0.014,0.6198,1,3313.7853,497637693.78,96.6139,0.8794
219,ISIC,Melanoma,ISIC_0024853.jpg,532,2.8151,0.0194,0.3566,1,3256.3411,573203678.6812,98.0873,0.9084
220,ISIC,Melanoma,ISIC_0024864.jpg,426,2.0687,0.0159,0.4838,2,3134.8505,256169085.9817,95.2263,0.9131
